,anonymisation,occupation,job_title,company_name,gender
602,jsalas,Data analyst,Data analyst,,male
603,andrewturner,Associé Gérant ,Data analyst & Associé gérantChez Expert BI-sarl,Expert BI-sarl,male
604,george42,Développeuse fullstack,Data analyst | Groupama G2S,,female
605,alvarezmichael,Staff Data Analyst / Analytics Engineer,Staff Data Analyst / Analytics Engineer,Time for the Planet,male
606,thomasjordan,Étudiante en CPGE,Étudiante en magistère d'évaluation des politiques publiques et de développement,Institut de santé publique,female
607,smithjames,Analyste de données,Data Analyst,Département de l'Hérault,male
608,samueldavis,Développeuse IA & DATA SCIENCE,Alternante Data Analyst à l’URSSAF LR | Master en Ingénierie des données à l’EPSI de Montpellier,,female
609,matthew02,Data Analyst,Data Analyst at CGI | Master's in Computer Science,,male
610,mmiller,Développeur BI Qlik,Développeur BI spécialiste Qlikview  Qliksense,,male
611,jennifer67,Analyste de données,Analytics Engineer,Kaizzen,female
612,dmelendez,Analyste SOC/CSIRT N2 (Contrat en alternance),Alternant Analyste SOC/CSIRT N2 en Master 2 Expert en Cybersécurité et Sécurité Informatique,Finzzle groupe,male
613,nicholeyang,Contrôleur de gestion,Data analyst / Contrôleur de gestion,Caisse d'Epargne Languedoc-Roussillon,male
614,thomas37,Accélérateur de transitions - maîtrise de l'énergie ,Accélérateur de transitions - maîtrise de l'énergie,COMMUNAUTE DE COMMUNES DU VAL D'ARGENT,male
615,hmyers,Consultant BI & Business Analyste ,Consultant Business Analyste & BI,Argain Consulting Innovation,male
616,seanallen,Gestionnaire,Analyste financier international junior et Analyste risques bancaires,,female
617,pford,Analyste de données,Analyste de données - ESPELIA,Espelia,male
618,mrodriguez,Consultante Data Analyst,Data Analyst,,female
619,vbrown,Analyste Développeuse,Analyste Développeuse chez Acelys Services Numériques,Acelys Services Numériques,female
620,vtanner,Analyste de données,Data analyst,TRACE,female
621,jordanzachary,Analyste Concepteur Développeur,Software Developper,Acelys Services Numériques,male
622,breanna47,Collaborateur   CE AXA PART SUD EST,Futur data analyst à la recherche d’une alternance,,male
623,oaustin,Data Analyst,Data Analyst,,female
624,merrittwilliam,Senior Associate Data Analyst,Associate Data Analyst at PwC France,,male
625,lpowers,Data analyst,Data analyst,,female
626,frances71,,Étudiante en intelligence artificielle et Data,Eurofins,female
